initial_a,initial_b,initial_c,initial_d,initial_e,initial_f,initial_g,sum_a,sum_b,sum_c,sum_d,sum_e,sum_f,sum_g,prev_a,prev_b,prev_d,prev_e,prev_f,prev_g,is_contiguous,customer_ID,time,state,location,group_size,homeowner,car_age,car_value,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,cost,A,B,C,D,E,F,G
1.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5,0.0,0.6666666666666666,0.5,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.606970744611194,0.5076495132127955,0.94,0.3435172518619851,0.0,0.0,0.17647058823529413,0.5,0.0,0.08771929824561403,0.11864406779661017,0.0,1.0,0.375,0.5659722222222222,0.0,0.0,1.0,1.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.6069576490924805,0.6557719054242003,0.14,0.19136646906824745,0.0,1.0,0.07058823529411765,0.625,0.6,0.5964912280701754,0.6101694915254238,0.0,0.0,0.0,0.7256944444444444,1.0,1.0,1.0,3.0,1.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.6069903878892643,0.5347705146036161,0.1,0.00805593555251558,0.0,1.0,0.011764705882352941,0.625,1.0,0.7017543859649122,0.711864406779661,0.0,0.8,0.375,0.6284722222222222,1.0,1.0,3.0,3.0,1.0,2.0,2.0
1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.6069118147769833,0.49860917941585536,0.94,0.2922936616507068,0.0,1.0,0.11764705882352941,0.625,0.0,0.45614035087719296,0.4745762711864407,0.0,1.0,0.3125,0.6145833333333334,2.0,0.0,1.0,1.0,0.0,1.0,3.0
0.5,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.60691836253634,0.43602225312934634,0.74,0.17388660890712873,0.0,1.0,0.011764705882352941,0.5,0.0,1.0,1.0,0.0,0.6,0.5625,0.6631944444444444,1.0,0.0,2.0,3.0,0.0,2.0,2.0
0.5,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.3333333333333333,0.5,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.3333333333333333,0.5,0.0,0.5,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6068987192582698,0.4853963838664812,0.28,0.5699954400364797,0.0,0.0,0.023529411764705882,0.625,0.8,0.10526315789473684,0.13559322033898305,0.0,0.8,0.3125,0.6996527777777778,1.0,0.0,3.0,2.0,1.0,2.0,2.0
0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.6069052670176266,0.3435326842837274,0.52,0.8993768049855602,0.0,0.0,0.12941176470588237,0.75,1.0,0.05263157894736842,0.0847457627118644,0.0,0.8,0.375,0.6041666666666666,0.0,0.0,3.0,3.0,0.0,0.0,2.0
0.5,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.6069445535737671,0.42489568845618914,0.76,0.4932360541115671,0.0,0.0,0.03529411764705882,0.75,0.4,0.5789473684210527,0.5932203389830508,0.0,0.8,0.625,0.6736111111111112,2.0,1.0,3.0,3.0,1.0,1.0,3.0
0.5,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.5,0.0,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.0,0.6069249102956968,0.6933240611961057,0.52,0.0609515123879009,0.0,1.0,0.011764705882352941,0.875,0.6,0.5789473684210527,0.5932203389830508,1.0,0.8,1.0,0.7465277777777778,2.0,0.0,3.0,3.0,1.0,0.0,3.0
1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6069314580550536,0.41307371349095967,0.52,0.4169326645386837,0.0,1.0,0.023529411764705882,0.75,0.6,0.3157894736842105,0.3389830508474576,0.0,0.4,0.4375,0.7743055555555556,2.0,1.0,2.0,3.0,1.0,0.0,2.0
0.5,0.0,0.6666666666666666,0.5,1.0,0.3333333333333333,0.3333333333333333,0.5,0.0,0.6666666666666666,0.5,1.0,0.3333333333333333,0.0,0.5,0.0,0.5,1.0,0.3333333333333333,0.0,1.0,0.6068594327021294,0.5382475660639777,0.76,0.49202006383948926,0.3333333333333333,1.0,0.058823529411764705,0.875,1.0,0.49122807017543857,0.0,1.0,0.8,1.0,0.5833333333333334,1.0,0.0,3.0,3.0,1.0,1.0,1.0
0.5,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.3333333333333333,0.5,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.3333333333333333,0.5,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.6068659804614861,0.42141863699582754,0.58,0.14622283021735827,0.0,0.0,0.09411764705882353,0.625,0.0,0.45614035087719296,0.4067796610169492,1.0,0.8,0.6875,0.6493055555555556,1.0,1.0,3.0,3.0,1.0,2.0,3.0
0.5,0.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,1.0,0.5,1.0,0.3333333333333333,0.6666666666666666,1.0,0.6068463371834159,0.7225312934631433,0.18,0.421796625626995,0.0,0.0,0.047058823529411764,0.75,0.8,0.7017543859649122,0.711864406779661,0.0,0.6,0.1875,0.7065972222222222,1.0,1.0,2.0,2.0,1.0,1.0,3.0
0.5,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6666666666666666,0.5,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6666666666666666,0.5,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6068528849427726,0.7767732962447844,0.44,0.621219030247758,0.0,1.0,0.16470588235294117,0.5,0.0,0.7543859649122807,0.6440677966101694,1.0,0.6,0.625,0.7048611111111112,1.0,0.0,2.0,3.0,0.0,2.0,3.0
0.5,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.5,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.6068921714989131,0.4228094575799722,0.12,0.09135126918984648,0.6666666666666666,1.0,0.08235294117647059,0.625,0.0,0.6491228070175439,0.06779661016949153,1.0,0.4,0.375,0.7465277777777778,1.0,0.0,3.0,3.0,1.0,0.0,1.0
0.5,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.6666666666666666,0.5,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.6068135983866321,0.34909596662030595,0.76,0.12296701626386988,0.0,0.0,0.15294117647058825,0.5,0.6,0.7719298245614035,0.7796610169491526,0.0,0.8,0.3125,0.6215277777777778,1.0,1.0,3.0,3.0,1.0,1.0,3.0
